City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
luau,22.22,-10.71,68.09,67.0,44.0,2.59,AO,1603171543.0
oussouye,-16.55,12.48,79.86,90.0,32.0,5.19,SN,1603171891.0
wanning,110.4,18.8,78.24,84.0,90.0,17.76,CN,1603171891.0
san rafael,-68.33,-34.62,56.39,36.0,0.0,1.63,AR,1603171891.0
vila franca do campo,-25.43,37.72,60.8,72.0,20.0,18.34,PT,1603171891.0
oksfjord,22.35,70.24,33.8,100.0,40.0,5.82,NO,1603171892.0
pochutla,-96.47,15.74,77.0,87.0,59.0,3.87,MX,1603171892.0
iralaya,-83.23,15.0,79.36,85.0,100.0,4.59,HN,1603171892.0
thunder bay,-89.32,48.4,28.99,79.0,75.0,4.7,CA,1603171453.0
sibolga,98.78,1.74,88.48,53.0,44.0,5.95,ID,1603171893.0
raudeberg,5.14,61.99,43.0,68.0,100.0,8.21,NO,1603171893.0
araouane,-3.53,18.9,82.22,15.0,0.0,8.86,ML,1603171615.0
pacifica,-122.49,37.61,59.0,77.0,20.0,10.29,US,1603171893.0
sompeta,84.6,18.93,86.97,70.0,52.0,8.63,IN,1603171893.0
taoudenni,-3.98,22.68,75.7,25.0,0.0,12.82,ML,1603171893.0
brae,-1.35,60.4,46.4,93.0,100.0,33.33,GB,1603171893.0
yulara,130.99,-25.24,93.2,26.0,38.0,9.17,AU,1603171533.0
vardo,31.11,70.37,33.8,80.0,40.0,12.75,NO,1603171514.0
hereford,-2.71,52.06,57.0,93.0,79.0,11.81,GB,1603171894.0
dolores,-57.68,-36.31,49.19,72.0,99.0,10.29,AR,1603171894.0
amapa,-52.0,1.0,69.89,98.0,100.0,1.86,BR,1603171894.0
ust-nera,143.2,64.57,7.39,83.0,13.0,4.88,RU,1603171894.0
shestakovo,103.96,56.49,29.44,88.0,100.0,9.22,RU,1603171616.0
matara,80.54,5.95,85.32,66.0,100.0,13.94,LK,1603171589.0
itarema,-39.92,-2.92,79.36,77.0,28.0,18.88,BR,1603171527.0
isoka,32.63,-10.16,78.03,41.0,5.0,5.97,ZM,1603171925.0
ureki,41.78,42.0,62.6,88.0,75.0,8.05,GE,1603171925.0
nemuro,145.57,43.32,55.4,54.0,20.0,11.41,JP,1603171526.0
dembi dolo,34.8,8.53,64.35,86.0,19.0,3.98,ET,1603171925.0
staritsa,34.94,56.51,35.13,94.0,100.0,9.35,RU,1603171925.0
broken hill,141.43,-31.95,75.2,22.0,92.0,9.17,AU,1603171893.0
elat,34.95,29.56,73.4,78.0,4.0,7.7,IL,1603171806.0
villa maria,-63.24,-32.41,55.99,96.0,100.0,4.0,AR,1603171925.0
clyde river,-68.59,70.47,32.0,91.0,90.0,16.11,CA,1603171665.0
tucuman,-65.22,-26.82,73.4,78.0,75.0,9.17,AR,1603171816.0
caibarien,-79.47,22.52,73.4,94.0,75.0,5.82,CU,1603171926.0
sao joao da barra,-41.05,-21.64,71.73,86.0,100.0,10.42,BR,1603171926.0
kribi,9.92,2.95,76.1,90.0,100.0,4.56,CM,1603171926.0
ancud,-73.82,-41.87,42.01,86.0,82.0,5.82,CL,1603171570.0
sylvania,-83.71,41.72,43.0,93.0,90.0,6.64,US,1603171861.0
king city,-121.13,36.21,62.01,45.0,0.0,2.51,US,1603171926.0
mecca,39.83,21.43,92.61,10.0,0.0,7.56,SA,1603171926.0
huaicheng,112.19,23.91,81.46,45.0,8.0,4.97,CN,1603171927.0
nome,-165.41,64.5,35.6,100.0,90.0,4.7,US,1603171538.0
tortoli,9.66,39.93,57.2,76.0,20.0,9.17,IT,1603171927.0
dunedin,170.5,-45.87,54.0,65.0,85.0,6.26,NZ,1603171684.0
porto santo,-16.34,33.07,68.0,94.0,75.0,6.93,PT,1603171927.0
mahebourg,57.7,-20.41,78.8,65.0,40.0,13.87,MU,1603171528.0
fredericksburg,-77.46,38.3,55.4,100.0,1.0,3.36,US,1603171744.0
fujin,132.03,47.26,54.97,51.0,1.0,10.85,CN,1603171927.0
micomeseng,10.62,2.15,69.6,99.0,98.0,1.3,GQ,1603171928.0
odweyne,45.06,9.41,80.35,19.0,0.0,4.94,SO,1603171928.0
hennigsdorf,13.2,52.64,43.0,87.0,96.0,8.05,DE,1603171928.0
raymondville,-97.78,26.48,78.8,88.0,1.0,9.17,US,1603171928.0
broome,-75.83,42.25,57.99,87.0,90.0,11.41,US,1603171554.0
port blair,92.75,11.67,84.29,77.0,49.0,16.55,IN,1603171447.0
hofn,-15.21,64.25,37.47,75.0,0.0,10.02,IS,1603171452.0
denpasar,115.22,-8.65,84.2,70.0,40.0,12.75,ID,1603171884.0
tunceli,39.55,39.11,59.0,51.0,40.0,1.12,TR,1603171928.0
alice springs,133.88,-23.7,93.2,26.0,40.0,14.99,AU,1603171354.0
kahului,-156.47,20.89,82.4,58.0,20.0,3.36,US,1603171304.0
kruisfontein,24.73,-34.0,63.0,60.0,50.0,5.99,ZA,1603171654.0
lucapa,20.74,-8.42,70.65,85.0,0.0,2.17,AO,1603171929.0
saint-michel-des-saints,-73.92,46.68,41.04,95.0,100.0,2.08,CA,1603171929.0
kushiro,144.37,42.98,57.2,54.0,40.0,6.93,JP,1603171590.0
pedasi,-80.03,7.53,75.99,94.0,100.0,16.87,PA,1603171929.0
mawlaik,94.42,23.63,84.9,75.0,63.0,0.63,MM,1603171929.0
pingzhuang,119.29,42.04,67.68,24.0,98.0,21.21,CN,1603171930.0
kingston,-76.79,18.0,75.2,88.0,75.0,19.46,JM,1603171701.0
henties bay,14.28,-22.12,57.0,91.0,4.0,9.46,NA,1603171688.0
bonavista,-53.11,48.65,48.0,86.0,22.0,3.0,CA,1603171584.0
yashan,109.94,22.2,74.68,67.0,79.0,10.63,CN,1603171960.0
muborak,65.15,39.26,73.15,19.0,0.0,7.09,UZ,1603171960.0
hernani,-1.98,43.27,73.4,43.0,100.0,13.87,ES,1603171960.0
bouar,15.6,5.93,68.13,81.0,69.0,1.54,CF,1603171960.0
bereda,-7.54,43.27,57.0,91.0,100.0,5.01,ES,1603171960.0
amos,-78.12,48.57,33.8,92.0,90.0,3.36,CA,1603171683.0
baijiantan,85.18,45.63,53.98,33.0,0.0,8.19,CN,1603171961.0
suez,32.53,29.97,75.58,70.0,0.0,7.34,EG,1603171961.0
babina,78.47,25.25,91.42,15.0,18.0,6.93,IN,1603171961.0
tokmak,35.71,47.25,48.74,63.0,0.0,2.66,UA,1603171961.0
karpathos,27.21,35.51,69.8,68.0,20.0,6.93,GR,1603171961.0
abha,42.51,18.22,60.8,20.0,0.0,8.05,SA,1603171962.0
iranduba,-60.19,-3.28,78.8,78.0,97.0,4.7,BR,1603171962.0
alingsas,12.53,57.93,43.0,93.0,75.0,9.17,SE,1603171962.0
ventspils,21.56,57.39,44.6,65.0,58.0,8.05,LV,1603171962.0
healdsburg,-122.87,38.61,62.01,81.0,1.0,1.68,US,1603171906.0
erdenet,104.08,49.03,27.52,83.0,80.0,13.51,MN,1603171899.0
mogadishu,45.34,2.04,80.6,74.0,75.0,13.87,SO,1603171220.0
san policarpo,125.51,12.18,84.49,81.0,72.0,14.05,PH,1603171962.0
kamenka,42.77,51.32,42.03,66.0,0.0,11.74,RU,1603171962.0
kysyl-syr,122.76,63.9,25.38,95.0,99.0,7.61,RU,1603171577.0
labytnangi,66.42,66.66,15.46,95.0,25.0,5.19,RU,1603171963.0
port-gentil,8.78,-0.72,78.8,88.0,40.0,6.93,GA,1603171576.0
naze,129.48,28.37,80.6,78.0,75.0,24.16,JP,1603171603.0
kaeo,173.78,-35.1,68.0,67.0,87.0,8.99,NZ,1603171546.0
faya,42.45,18.39,60.8,20.0,0.0,8.05,SA,1603171963.0
kalmunai,81.82,7.42,90.34,47.0,26.0,4.54,LK,1603171963.0
kieta,155.63,-6.22,83.71,74.0,63.0,4.47,PG,1603171963.0
labuhan,112.21,-6.88,87.49,63.0,29.0,13.2,ID,1603171677.0
shingu,135.98,33.73,71.6,56.0,40.0,8.05,JP,1603171616.0
hobyo,48.53,5.35,82.29,70.0,0.0,11.23,SO,1603171596.0
znamenskoye,73.83,57.13,44.51,85.0,70.0,3.83,RU,1603171964.0
aljezur,-8.8,37.32,62.01,96.0,100.0,9.62,PT,1603171964.0
harlingen,-97.7,26.19,80.01,88.0,1.0,9.17,US,1603171861.0
kabinda,24.48,-6.13,71.49,83.0,100.0,2.35,CD,1603171964.0
keuruu,24.7,62.27,28.99,86.0,40.0,5.82,FI,1603171964.0
tilichiki,166.1,60.47,33.91,100.0,100.0,5.95,RU,1603171964.0
gizo,156.84,-8.1,84.88,67.0,84.0,5.41,SB,1603171541.0
urumqi,87.6,43.8,62.6,25.0,0.0,6.71,CN,1603171694.0
zyryanka,150.85,65.75,16.75,97.0,100.0,6.8,RU,1603171965.0
lugovoy,72.76,42.95,64.72,24.0,0.0,6.53,KZ,1603171965.0
kamalganj,79.65,27.27,88.05,20.0,0.0,4.85,IN,1603171727.0
maltahohe,16.98,-24.83,65.21,25.0,0.0,13.13,NA,1603171965.0
comodoro rivadavia,-67.5,-45.87,46.4,45.0,0.0,11.41,AR,1603171965.0
sambava,50.17,-14.27,78.55,66.0,58.0,14.38,MG,1603171630.0
batticaloa,81.69,7.71,88.12,52.0,34.0,3.58,LK,1603171966.0
tiarei,-149.33,-17.53,80.6,65.0,20.0,11.41,PF,1603171996.0
seymchan,152.43,62.88,22.44,95.0,100.0,7.23,RU,1603171559.0
punta umbria,-6.97,37.18,66.0,71.0,100.0,14.0,ES,1603171996.0
belaya gora,146.42,68.53,10.45,92.0,59.0,3.27,RU,1603171996.0
taltal,-70.48,-25.4,57.54,71.0,0.0,0.31,CL,1603171622.0
inhambane,35.38,-23.86,73.49,70.0,0.0,9.95,MZ,1603171529.0
yagodnoye,149.67,62.55,16.63,89.0,98.0,3.02,RU,1603171996.0
dalby,151.27,-27.18,82.4,30.0,81.0,9.17,AU,1603171996.0
taft,54.21,31.75,60.8,12.0,0.0,4.7,IR,1603171997.0
lata,-8.33,40.16,63.0,94.0,100.0,4.27,PT,1603171538.0
qaqortoq,-46.03,60.72,32.0,89.0,100.0,3.36,GL,1603171574.0
surt,16.59,31.21,71.91,56.0,20.0,9.84,LY,1603171997.0
mortka,66.02,59.33,36.68,92.0,74.0,7.61,RU,1603171997.0
panzhihua,101.71,26.59,62.76,82.0,100.0,1.45,CN,1603171997.0
kodinsk,99.18,58.69,30.65,93.0,99.0,8.39,RU,1603171997.0
batemans bay,150.18,-35.72,66.99,69.0,54.0,4.0,AU,1603171507.0
sarankhola,89.79,22.31,87.28,77.0,35.0,6.13,BD,1603171997.0
kirksville,-92.58,40.19,37.99,86.0,90.0,5.82,US,1603171997.0
djibo,-1.63,14.1,84.11,25.0,1.0,7.09,BF,1603171997.0
te anau,167.72,-45.42,52.88,55.0,5.0,6.04,NZ,1603171669.0
tambovka,128.05,50.1,53.6,40.0,20.0,15.66,RU,1603171998.0
saint-joseph,55.62,-21.37,80.6,61.0,16.0,20.8,RE,1603171599.0
ambovombe,46.08,-25.17,81.59,46.0,0.0,5.73,MG,1603171998.0
leua,18.61,48.22,44.01,89.0,71.0,3.0,SK,1603171998.0
acajutla,-89.83,13.59,72.0,100.0,97.0,5.44,SV,1603171779.0
beringovskiy,179.32,63.05,39.97,94.0,97.0,11.41,RU,1603171998.0
moose factory,-80.61,51.26,30.2,92.0,90.0,4.7,CA,1603171998.0
terrace bay,-87.1,48.78,30.54,89.0,58.0,7.09,CA,1603171999.0
boyolangu,111.89,-8.12,85.26,65.0,53.0,9.13,ID,1603171999.0
oeiras,-42.13,-7.03,77.04,31.0,27.0,6.29,BR,1603171999.0
egvekinot,-179.17,66.32,29.1,99.0,48.0,4.81,RU,1603171690.0
shanghai,121.46,31.22,73.4,46.0,11.0,8.95,CN,1603171846.0
mount gambier,140.77,-37.83,59.0,62.0,90.0,9.17,AU,1603171632.0
abnub,31.15,27.27,73.4,60.0,0.0,5.82,EG,1603171999.0
saint anthony,-93.22,45.02,32.0,92.0,90.0,3.94,US,1603171635.0
ponta delgada,-25.67,37.73,60.8,72.0,20.0,18.34,PT,1603172000.0
puerto madryn,-65.04,-42.77,50.4,47.0,29.0,9.35,AR,1603172000.0
mwinilunga,24.43,-11.74,74.52,42.0,2.0,3.51,ZM,1603172000.0
batagay,134.63,67.63,11.37,94.0,100.0,4.34,RU,1603172000.0
gwadar,62.33,25.12,85.75,25.0,0.0,6.13,PK,1603172000.0
lamu,40.9,-2.27,82.4,74.0,75.0,9.17,KE,1603172000.0
aubagne,5.57,43.29,57.99,79.0,52.0,9.66,FR,1603171804.0
port augusta,137.77,-32.5,78.8,26.0,90.0,11.41,AU,1603172001.0
ilheus,-39.05,-14.79,71.94,92.0,99.0,4.68,BR,1603171511.0
villazon,-65.59,-22.09,49.68,59.0,0.0,5.23,BO,1603172031.0
maniitsoq,-52.9,65.42,38.19,95.0,100.0,33.53,GL,1603172031.0
hovd,91.64,48.01,33.37,73.0,40.0,3.58,MN,1603172031.0
komsomolskiy,71.72,40.43,68.0,22.0,0.0,4.27,UZ,1603171531.0
durban,31.03,-29.86,69.8,88.0,75.0,9.17,ZA,1603171244.0
bonthe,-12.51,7.53,77.16,88.0,95.0,3.09,SL,1603171571.0
srednekolymsk,153.68,67.45,18.55,96.0,99.0,3.24,RU,1603172031.0
mulanje,35.5,-16.03,84.56,37.0,0.0,6.4,MW,1603172032.0
shakiso,38.92,5.75,66.51,80.0,26.0,3.04,ET,1603172032.0
beni suef,31.1,29.07,76.87,58.0,0.0,10.4,EG,1603172032.0
hays,-98.03,30.05,75.99,88.0,4.0,4.0,US,1603172032.0
sorong,131.25,-0.88,83.34,80.0,82.0,10.49,ID,1603171545.0
srandakan,110.25,-7.94,83.26,72.0,64.0,12.03,ID,1603172032.0
takaka,172.8,-40.85,57.0,77.0,100.0,5.01,NZ,1603171499.0
tessalit,1.01,20.2,76.59,18.0,0.0,8.01,ML,1603171466.0
lubango,13.49,-14.92,70.41,26.0,7.0,8.5,AO,1603172032.0
deputatskiy,139.9,69.3,9.68,95.0,95.0,2.82,RU,1603172032.0
mineiros,-52.55,-17.57,69.51,86.0,93.0,2.21,BR,1603172032.0
tawala,123.77,9.55,86.0,70.0,75.0,9.17,PH,1603172033.0
bambanglipuro,110.28,-7.95,86.05,64.0,72.0,12.01,ID,1603171550.0
talaya,152.75,61.38,18.54,92.0,99.0,4.03,RU,1603171536.0
terrace,-128.6,54.52,41.0,93.0,75.0,13.87,CA,1603172033.0
sept-iles,-66.38,50.2,41.0,100.0,90.0,4.7,CA,1603171322.0
la union,-80.75,-5.4,64.9,79.0,42.0,6.67,PE,1603172033.0
sulzbach-rosenberg,11.75,49.5,37.0,92.0,75.0,5.97,DE,1603172033.0
bauchi,10.0,10.5,73.83,66.0,27.0,3.15,NG,1603172033.0
bastia,9.33,42.67,55.99,81.0,26.0,8.05,FR,1603172033.0
acapulco,-99.89,16.86,80.51,79.0,22.0,5.19,MX,1603171494.0
concordia,-58.02,-31.39,71.01,74.0,20.0,17.0,AR,1603171803.0
aktash,87.73,50.3,32.11,90.0,76.0,3.2,RU,1603172034.0
warrington,-2.58,53.39,54.0,87.0,97.0,14.99,GB,1603171802.0
deutschlandsberg,15.22,46.82,39.99,100.0,75.0,2.24,AT,1603172034.0
hojai,92.87,26.0,82.47,79.0,81.0,1.41,IN,1603172034.0
gisborne,178.0,-38.65,61.0,87.0,100.0,1.99,NZ,1603171792.0
esmeraldas,-44.31,-19.76,62.6,93.0,75.0,5.82,BR,1603172034.0
aksu,80.26,41.12,65.89,25.0,0.0,3.85,CN,1603172034.0
oistins,-59.53,13.07,77.0,88.0,40.0,4.7,BB,1603171270.0
kununurra,128.73,-15.77,104.0,28.0,40.0,6.93,AU,1603172034.0
mayumba,10.66,-3.43,76.95,87.0,100.0,3.71,GA,1603171512.0
zonguldak,31.83,41.25,52.75,82.0,19.0,2.44,TR,1603171944.0
mabaruma,-59.78,8.2,73.0,99.0,14.0,2.04,GY,1603172035.0
bakaly,53.8,55.18,41.9,69.0,100.0,11.48,RU,1603172035.0
adrar,-10.07,20.5,79.7,23.0,0.0,9.91,MR,1603171677.0
tabuk,121.44,17.42,79.66,86.0,99.0,16.55,PH,1603171522.0
kulunda,78.94,52.57,51.66,45.0,83.0,12.26,RU,1603172065.0
touros,-35.46,-5.2,71.6,94.0,40.0,4.7,BR,1603171535.0
talcahuano,-73.12,-36.72,50.0,81.0,49.0,8.05,CL,1603172065.0
pozo colorado,-58.8,-23.49,77.22,58.0,16.0,3.74,PY,1603172066.0
danli,-86.58,14.03,69.8,100.0,75.0,2.24,HN,1603172066.0
leshukonskoye,45.76,64.9,29.28,98.0,99.0,3.15,RU,1603172066.0
tecpan,-90.99,14.76,64.99,93.0,20.0,11.41,GT,1603172066.0
ulvik,6.92,60.57,37.99,80.0,90.0,24.16,NO,1603172066.0
toul,5.92,48.67,59.0,76.0,86.0,23.04,FR,1603172066.0
chapais,-74.85,49.78,28.4,92.0,90.0,2.24,CA,1603171534.0
kamina,24.99,-8.74,73.51,72.0,11.0,3.31,CD,1603172067.0
sanmenxia,111.18,34.77,69.39,35.0,100.0,5.55,CN,1603172067.0
vila,-8.16,42.03,55.0,95.0,87.0,5.01,PT,1603171674.0
nuevo ideal,-105.07,24.89,58.12,41.0,0.0,3.36,MX,1603171796.0
qandala,49.87,11.47,87.26,38.0,0.0,5.03,SO,1603172067.0
fort nelson,-122.7,58.81,14.0,85.0,5.0,1.88,CA,1603171804.0
paripiranga,-37.86,-10.69,67.33,96.0,99.0,6.42,BR,1603172067.0
chapada dos guimaraes,-55.75,-15.46,84.2,54.0,97.0,8.05,BR,1603172067.0
